,index,sign,glyph
34,2991,KAL,21f0517f-b183-44ab-9962-ac6fcae2f0be.png
24,33,BA,74137d90-b845-4080-b302-6faaaf1e5208.png
54,477,TU,7d4cae6e-681d-497b-b349-ffecd1d3776a.png
24,1635,TA,f4eb0c48-b0a4-425c-86ae-fa63fe917c8a.png
10,4958,DIN,86ba5b87-9809-492d-8ce7-932ceba84162.png
34,457,TU,YOS2037_NCBT1956obva_0.png
0,660,RU,0f318d73-b34f-4c03-8012-f74d85730e9e.png
59,1670,TA,7e2fd4be-47ed-4faa-87f1-c173f4cc4227.png
12,2354,BI,a02f02cf-762c-466b-8991-f056356b74ed.png
6,121,SU,04b1528b-3096-4ba7-8f99-da845d75372c.png
49,5333,LU,17f7b0e9-fe98-422b-9810-c80d2283320c.png
8,1619,TA,a02140cb-c545-40ea-ac3c-78a8cebfa958.png
10,3023,BIT,1640a399-e026-439c-b0fd-7c8aa4f79127.png
33,5906,ŠÁ,b186724c-21e7-4d5c-a11d-4e6b13a82704.png
27,3729,KUR,4ba44249-da33-4adc-ab2c-5be800872e3a.png
21,136,SU,5f230940-f981-4bae-ae21-759543de8a5e.png
4,3820,BU,d027cae1-48fe-4184-aa08-a1d5e3181ef1.png
67,1678,TA,a4095e92-aeb4-41a2-b591-8e839bb21231.png
14,437,TU,a8b7ac70-f3a4-4210-9f88-2c9adc3f429e.png
11,1190,GI,0f8f8959-a3bf-45ba-be9a-612c87aa8717.png
33,5728,A,c2cf9528-83a9-4eb3-bb74-c1b1ff64e0f9.png
17,2359,BI,7b6f1d14-8bdb-46f1-a2bd-52eb6f9f061c.png
1,6378,NI,3f8cf265-f33b-47f2-9a9d-cc9cd565fa55.png
7,350,ITU,d4fc00aa-20c5-48d3-8beb-e17c9fba4b7b.png
41,3857,BU,4be417a7-8acc-4e77-aef1-c80d270150ee.png
26,3365,DA,ead84a02-6fab-4c56-b87f-a8dee4aec3d2.png
23,3839,BU,4d68549b-69bf-4f50-a0ad-0bd90d4211c5.png
43,3659,ŠU,d52f0d81-303b-414c-8856-2b02341e62d6.png
36,5909,ŠÁ,e4408a83-29f2-494f-ad7a-689cfae33b95.png
35,2685,E,a6d13119-fcba-49af-81f3-55f1e1508858.png
43,6420,NI,cd38397b-cdd3-4d17-a856-2c12debcd4cf.png
49,392,ITU,062cd1be-aa63-4d35-9ca4-0c44e3fc5f7b.png
30,3043,BIT,90705765-43dc-4075-9d26-8dca01fbaa74.png
18,5471,LA,18dc1cf5-f7e8-472f-a3c2-d1e542b52221.png
73,5768,A,b78da3ff-5b21-4b4f-ae24-5324908d01f0.png
54,3870,BU,44d57ad3-a226-4288-b07f-fca7fa1a6297.png
45,6422,NI,91d88335-4e95-4f49-9d90-f38a9057c97e.png
16,5300,LU,c60d5d34-29a0-4e97-bc45-fef788daea5c.png
39,48,BA,a85eb9b2-1529-4eea-b540-93320decbb90.png
35,5908,ŠÁ,ceced2f8-f2d2-4081-97c3-cd325b7ec195.png
18,2360,BI,7bdd779f-fcdb-42c4-a341-03579101a5ed.png
45,5740,A,af835f82-1885-4cec-b06f-fac1a2468c5b.png
50,710,RU,fa57b6b8-39de-4241-8924-5ec8530c1ec3.png
8,351,ITU,c6b903fe-8487-4337-b7b1-f01aaecab2c5.png
72,5767,A,f8c12a6c-5507-4383-93bf-6f26b462d55f.png
28,3790,ŠE,89c26434-456b-444a-9ef8-bd1c814d1fb7.png
72,3888,BU,a80631d1-5f87-4c4d-9d72-95049516be07.png
70,4656,ŠI,cc3ced25-53cf-48f9-a8fe-e28e2ff3cba7.png
22,5306,LU,BRM240_MLC2140revc_7.png
65,3881,BU,d21ba3a1-5c03-485d-a741-d5e4df8082f8.png
3,1182,GI,43fc9746-01b8-45d4-990e-f47278aad085.png
17,26,BA,d8e3af9f-6b40-40fb-9bc4-599670823210.png
0,4719,DI,b276465e-3cef-495b-85c8-6b54d9c7d7e4.png
27,3643,ŠU,4dc91e82-01dd-4a9d-b1ea-2b68fac1dec3.png
21,868,TI,973208b2-5075-4244-916a-d181b9a86ec8.png
82,6459,NI,400de334-9e23-450a-9d29-dd911a53926c.png
65,488,TU,5c479c34-65bb-449e-8394-450b56737533.png
29,4039,UD,0ab2099e-7cfa-425f-a724-c4034507f664.png
9,4208,HE,7d3f808b-49e4-4ce4-b23a-f95266ea8461.png
5,4953,DIN,d43878cd-0de1-4890-ac37-577080ec31dc.png
3,5389,ŠÚ,7f342abd-8a1b-4c79-8bad-27f0c3327adb.png
11,671,RU,05aaaa57-fd3e-4cdd-9be2-54cb8d3ac254.png
15,3288,ID,73a4c0ae-c861-4c28-abf0-29a186cb56af.png
14,285,KA,3ceffd7b-042b-43e0-b8f8-b323fa651ddc.png
10,5463,LA,a785b800-1a50-4afe-86f0-a2e2361c9070.png
34,3796,ŠE,dff9e68b-caf7-41c7-ab18-04f62721aadb.png
17,3030,BIT,f05c0fc8-50d7-4b48-8014-79d918cbd091.png
48,964,BAR,79115591-dc6d-4040-9092-590e7b59bfdc.png
27,36,BA,0f4bcd0e-bef5-43cb-acb8-01369625da9d.png
44,960,BAR,43a9cf79-11f6-46d1-8488-d5e935f65781.png
37,3119,RA,0e2b5e81-b167-4d7b-a315-c8f476ac8c62.png
4,3620,ŠU,9d90f2da-9ac0-4626-9d81-a9feae67d2f9.png
7,278,KA,74f037ee-de7b-4160-a86e-44fe61b90957.png
0,2957,KAL,baa50cfe-43f0-41b1-9496-c6e0521a794b.png
54,2396,BI,8c5b713d-db30-4013-844d-bfc66857cad2.png
51,166,SU,e62be7bb-fdff-4bca-a222-c3d12ff6b125.png
26,5899,ŠÁ,e6432ec2-0c9a-4612-b801-d307753d1c30.png
56,4642,ŠI,6c5d9001-b410-4750-ade1-8b57d13e7b21.png
47,162,SU,5a236b56-f62f-4067-994e-85ec8315c8a7.png
23,5307,LU,7f887224-3970-49f8-9d88-14f8fcb5df4a.png
42,465,TU,67a14bc7-d07d-47f4-a623-e3c008916961.png
8,6321,KU,bb772358-557d-471a-8ded-745c1f2e9e47.png
29,300,KA,e629a325-4139-4c85-909e-9ff9378bb363.png
52,5438,ŠÚ,154fef15-e5e7-4056-b9a8-ba38376ab748.png
18,4217,HE,efcc7c24-c751-4549-ba0e-41ec282f5386.png
72,5945,ŠÁ,YOS2024_NCBT1938obvc_5.png
8,3347,DA,de5bd8de-cc5e-4de1-b1be-e3412e8b9602.png
22,3838,BU,61c08aa5-8f2e-48b8-8ec5-388d082fedc3.png
46,3059,BIT,adc512b0-c938-49a6-9a29-198801ba421a.png
2,117,SU,589b879d-1207-4c5b-b16f-2889af8dd524.png
66,4076,UD,2ada7424-90e7-4064-85f1-e5f9516352c8.png
30,4040,UD,ff915a2d-4e33-4b9d-8ada-1a74b011915b.png
64,6441,NI,07c335bc-960d-4491-8d6c-10c4a90d1b06.png
74,3690,ŠU,43491a59-f27a-4273-8823-4c5469b4af2a.png
1,2651,E,89812b23-ad80-4e32-b011-c9ce0662784b.png
79,88,BA,089bd1fd-b21e-4a58-a40d-cf17cb9e03ff.png
32,2989,KAL,5a662750-a3de-469f-b05f-53ceecfe258e.png
69,5353,LU,df42fca3-4aab-49bc-81d9-1a96209afbe8.png
43,703,RU,4c19cfdb-202e-4e5c-a798-d3ea23e27b08.png
25,2367,BI,6ae55b50-741d-4ce0-a58d-e2c33862fb51.png
11,5397,ŠÚ,d17bf586-bf6f-4ad5-9bac-c44780455e8b.png
39,6416,NI,fc909412-2894-4cc3-8ba1-30f4da4b8ec9.png
29,38,BA,78722fb1-54a5-472f-a396-d05379acaded.png
11,2661,E,c5756a97-52b1-4d68-9d39-522358d31ebd.png
5,852,TI,98d2d3dc-35d7-4191-9c0b-035c767e2172.png
47,3004,KAL,595ee2f9-9888-49f7-9f5e-38665752ed5d.png
19,362,ITU,c278220d-a52d-424f-991c-854828f8e059.png
14,4600,ŠI,01c3dba8-7371-4cda-8c0d-908f56f0cc89.png
61,5447,ŠÚ,054b4f80-fb7b-46e7-b28b-33539ef76d5f.png
49,6362,KU,73061f43-d4bc-4740-90e7-00fce0de8099.png
80,89,BA,640a8785-4eac-4b27-bf40-71dfdec4c801.png
58,5753,A,39d902c9-5771-47f0-a45a-8038467636fe.png
54,5002,DIN,4c053af3-78d3-4ab0-99ac-a369aecd5543.png
6,6319,KU,567a97e7-7262-41fa-a922-b338dabb9be8.png
27,2677,E,ff5f5803-0be7-46c2-b7cf-b1527239908c.png
6,5879,ŠÁ,48fda30d-e225-45f9-84eb-53bc1b5776b4.png
29,3845,BU,2af194c8-a9f8-4a38-9746-dc2b5b363dfe.png
8,6065,NU,9c6d8719-926c-46ea-8458-807152aaec73.png
25,3641,ŠU,21c85946-c591-4b1b-9095-2cef46f6c624.png
4,4014,UD,0ea033e0-f656-4347-8a6d-f32c26f34339.png
22,682,RU,c20f9cff-eae2-4637-9cfa-0941816c80e3.png
65,5938,ŠÁ,f05f07c0-413f-4626-855b-e5500a3d36a7.png
64,4650,ŠI,2b3e93d3-922c-4470-80b3-83abc11f5d28.png
20,5406,ŠÚ,258ca07a-a86a-4102-9fe9-03123dec4759.png
26,6339,KU,2bc63fed-0a95-4142-929f-c3ffdd9d31c2.png
10,5883,ŠÁ,30e5bf28-0d9e-41e7-bf12-4f4759bb8ed7.png
36,3852,BU,9e63c065-0788-4113-912b-aa8e90a2039e.png
58,4257,HE,07d0e7bc-2130-40c8-9815-ebebbb9e6255.png
43,3382,DA,26634b67-ce05-474d-b643-6a916b6eefa0.png
34,694,RU,422281b4-a55d-40f5-8c9c-134e4e4450bf.png
16,3832,BU,de06db8d-7719-4fcb-ae1e-0fbd35d7bd7c.png
13,4732,DI,c3ef0920-c6d3-44e3-9d46-0111b5067ddd.png
22,4741,DI,f8837f2d-90c1-48f6-abc0-ae3830b6a6e7.png
12,6389,NI,fed76fc9-5d60-4a73-9840-0467c51c4516.png
11,1622,TA,YOS2024_NCBT1938obvc_2.png
63,4649,ŠI,2225560f-5cc0-46d4-a2bf-347f5ceeac81.png
66,409,ITU,d5c4c52c-4ba9-47a6-840c-649a29e79fc9.png
9,5395,ŠÚ,b88ffee3-0338-4b37-bd81-0cf7329ba2ee.png
34,377,ITU,dce5c0fc-f534-42e4-91ce-41acbd7e8ca0.png
24,6337,KU,9e144250-be7f-4b94-9c60-e4a8426d7616.png
51,4061,UD,18203e04-60e6-4350-a3f0-6633047a97e4.png
64,2406,BI,cfab93e6-5665-46cd-bcd8-dfd977d65b6f.png
34,1213,GI,96034415-c3c0-4eeb-8a3f-2bdd36d945e7.png
11,2353,BI,e034140e-0b4f-4e6e-b2f9-48d6dad65056.png
9,3091,RA,1fb87822-7b6f-4f57-b3fe-085cb9ce8730.png
0,3273,ID,b5e72d58-1fa6-439b-9747-29955e2f08c2.png
38,698,RU,10011443-500e-4184-b036-84ad95f91f15.png
12,21,BA,87fa70c2-aa73-4560-b229-82a5f080cda8.png
31,947,BAR,dff15ca6-1556-44a9-961f-560e1742d900.png
22,293,KA,c645d879-00ec-4368-bf0f-441a47de1d3f.png
16,3355,DA,0fa41a51-f457-4bd0-8bc5-446987a4ae71.png
11,6388,NI,8bc20118-e844-4034-94bb-d806e7956d85.png
6,3822,BU,7f4a63a3-ce00-453b-9c6e-d7735101bd53.png
56,3758,KUR,4dae90cf-ba6b-4cfe-8a41-7d19bc8f5f0e.png
9,4595,ŠI,abef2450-55db-4d53-be34-cb89af206d17.png
25,3298,ID,5b37b190-9abb-475a-a22c-5feb14f22170.png
61,6438,NI,6efdc074-2aeb-4b41-a09f-9a27d80909e7.png
48,5434,ŠÚ,841813d1-8c8c-4791-8ad8-a28194a5818d.png
65,5349,LU,ef4c1b56-68f3-4266-9be9-ae609502807b.png
6,277,KA,03228aaa-c0e0-49a8-91cc-deb32907da20.png
32,1211,GI,c46e1f7b-c96f-4a75-90ef-f06a54a3fa9e.png
7,5393,ŠÚ,8b88c925-cdb9-4336-a0dd-eaefd3bc150d.png
11,3773,ŠE,8ad47865-2011-437c-91c6-ab9da170fcf5.png
40,6097,NU,511c2fb3-839b-4164-ba64-3ab7795f1f1a.png
9,5293,LU,fdb424ac-6c8c-40c3-823c-ae752a67dfc7.png
32,3734,KUR,236e5d7d-18d1-4a88-902e-2bba186c6e4a.png
27,450,TU,225b3e3e-66fd-4c73-b926-7553432de563.png
31,878,TI,1ab8a1e6-4a12-4cae-8b31-46a1b914dbcf.png
62,909,TI,e43c8124-c925-4eb3-bac6-acff3da09661.png
31,3847,BU,15d2b054-ad41-4651-82d5-975c5dd47cb6.png
33,304,KA,0eb69d9c-48e1-4be2-9246-817337839ad7.png
22,3724,KUR,ff349779-0c9e-47a6-88be-b858c94afb79.png
15,4601,ŠI,c476ed70-b5a3-4c43-a336-d7d1b1aff23d.png
44,3187,LÚ,e000f907-7930-4571-9b6c-c2094662249e.png
49,4635,ŠI,b264b45f-e7d9-447d-8b2d-8fd672295cbb.png
24,6081,NU,dc31d651-28ff-42c8-8a2b-f51aa2f5b26c.png
65,4651,ŠI,4a2e9c25-8ea8-486b-82a0-8a1271114084.png
19,3781,ŠE,c9b7477e-376d-4e3d-a4ce-737683b43759.png
48,2390,BI,de9dcac3-3d5c-4956-b696-9e2e4668b077.png
66,5350,LU,7106dabf-e548-4926-87a4-7335c1c09db8.png
65,1676,TA,b3cb2aec-1eff-453d-9e99-d5f4d6be1c9c.png
17,2974,KAL,bbcfd276-6dab-4a61-9486-7b1210f7edd1.png
15,3831,BU,f42e2077-1342-4cc1-ab03-d8925e26068c.png
54,4064,UD,a142296d-d568-4c53-baec-aa596a3877d8.png
16,4735,DI,7bcfca37-1c8f-43f0-8936-222f354bb932.png
30,2680,E,a1bd5670-3e7b-4252-9292-9ef2976e18dc.png
32,3371,DA,ef6363ad-b470-472a-b5a7-fd2685aa8e22.png
32,4042,UD,2e1ecd11-a70a-4e74-9205-981068dc7516.png
64,2214,DU,396ea172-740e-4c60-974f-f77fedffe035.png
10,3772,ŠE,f5d059b4-12d7-458f-b114-b70eda87debf.png
65,2407,BI,c152e731-4ee2-46f5-a66e-5452f4ada5e8.png
9,6386,NI,ccc1c59a-9b26-4278-a349-f827fc2949b9.png
59,3202,LÚ,d9da6503-f8d2-44f2-b9fe-1fe8051de740.png
10,926,BAR,a35acfb9-e212-4347-95eb-ed0c5c3ee1ca.png
44,3001,KAL,19f181f6-356e-4759-8cb0-9e70f1a75885.png
26,2676,E,7d8b5c6f-cbfd-48b5-adf6-248c4907863b.png
61,404,ITU,08010f69-926d-45b3-b3d6-983dddc1fde8.png
19,4605,ŠI,a3c7954f-ab29-4df8-81e7-59617430ba3f.png
34,3373,DA,3cbba80e-81c1-4825-8192-c91f2521aad4.png
60,4259,HE,fb778919-5593-4c56-8063-09cd74948052.png
41,3657,ŠU,b8712620-c472-4d3f-9fa2-4db4accdfdf3.png
2,3618,ŠU,203377f4-ace4-4167-9b5a-ae4181c4beef.png
14,3630,ŠU,9b04017b-7aa2-4082-8602-f20f278f07aa.png
2,3764,ŠE,834e84fa-8ab8-4d99-8767-10be8d9e282d.png
49,58,BA,3e7f7ae9-6188-4a77-be24-5169c72083c1.png
30,5725,A,7e7c300c-70db-4800-8f43-c778929f31a5.png
23,5896,ŠÁ,4ae1e0cf-7267-4b19-8b9e-a254c6cc0f4d.png
4,5457,LA,6cf3f67a-0b56-426a-937a-217294cc6a45.png
40,1651,TA,867391e7-b6dc-42c3-9564-0a215ca6e4a0.png
11,3284,ID,b0776ca5-e801-4f81-b71e-ecfea3292cb2.png
72,6449,NI,0b16bcaf-9baa-4132-9a43-2250f66b690b.png
69,1680,TA,06a5ae42-8839-4fd7-a623-30eab4adec77.png
57,4067,UD,e9aa1a6a-c8c7-416c-8781-6235edf071d7.png
52,5747,A,81022775-079b-4bad-82fd-7e4ec61c3a09.png
67,3406,DA,b9089d39-c2dd-4010-b2d1-07993c2bdb2c.png
35,6092,NU,a76a7244-64a7-46da-8b5e-5831b467995e.png
1,3014,BIT,7329212f-4213-4599-b431-65beba739fd7.png
46,5499,LA,96553108-2cc8-4b3b-a7e6-d10163b95628.png
2,3275,ID,fad119c9-0424-4042-88d1-08c8e48b8518.png
19,4738,DI,46573a55-a598-48dc-baa3-f3166e5d5ee0.png
23,446,TU,8b85d6f3-589e-4a95-8ddf-72fe6aa704ca.png
34,5907,ŠÁ,062a3336-90d0-4a14-bcb7-c31fba2c8d6a.png
61,4780,DI,4a59b348-1ec0-4dbe-9f5d-29e8757df553.png
1,4011,UD,b401cbe5-a5ae-4393-b950-1ac943cd9dca.png
68,5763,A,78cb7c2d-b517-4f20-a74c-51247e55ed7d.png
24,684,RU,4799a71b-0d63-4be5-91f8-bba60ba1ce88.png
36,5731,A,e7c34b1b-7e7d-433d-b73a-d5fc9beba11c.png
22,1201,GI,7a6a0ecc-25ee-49d2-9c4b-3d04d416d9b1.png
57,400,ITU,834d8995-279c-48dd-ac77-cae21647929a.png
8,2965,KAL,cfa42540-dbf0-4012-81da-bd02cbcaafb8.png
44,704,RU,2809f01e-2da2-4a67-b7f2-75ec3ef59693.png
1,2151,DU,BRM246_MLC2146obv_12.png
47,1226,GI,01b39b81-082c-4f8b-b067-d2ee6f7b38e3.png
62,485,TU,c494cb3e-eb5f-4762-872a-743b2022ad78.png
12,3351,DA,e0147f82-276a-42a9-83f5-41339eda6b81.png
38,4048,UD,e07103d6-879c-4e7b-9f1d-02953c97b917.png
35,3737,KUR,6581c888-06a1-4c86-80db-06a0a396d556.png
49,3322,ID,96fdf6c3-fbee-48c0-b8bb-a71b7d8c1c26.png
28,2178,DU,67a387d7-2b15-4504-8b90-d61b10b43a8c.png
1,4720,DI,3f2ced4d-e7bd-4e76-9b06-3790c1c85879.png
10,1621,TA,BRM211_MLC2111rev_1.png
44,3383,DA,f9744b96-90f5-46a7-bd54-cb017b6b5f1a.png
54,5507,LA,a08b0e02-74ae-45f9-8e4a-db0bb405699a.png
12,3094,RA,b7f57ef5-cf7b-4c8d-ab3f-c0b9245311be.png
41,2383,BI,3010e257-5274-4adf-8ded-11e1c26bfdfa.png
9,4957,DIN,3d90aa16-f7ff-4399-ba0e-f055dd29aa0f.png
35,6348,KU,0dda10b6-c334-4554-8ba9-6e983bac092b.png
21,2671,E,3779bd9a-4732-44f8-84bf-08890a23cda8.png
6,349,ITU,7076197d-2a05-4f37-9bb6-4f0a62b596f3.png
48,471,TU,07ce8dd7-4197-4fef-abc4-67a0d79491c8.png
22,6079,NU,8b4a893e-ef70-4803-93d1-d9a64757e5c6.png
24,2174,DU,90087ea8-3185-40c9-abbf-7a54b76ea352.png
12,5398,ŠÚ,2ac183e9-018e-4530-8e99-0481645a7ed7.png
43,4991,DIN,YOS2024_NCBT1938obva_9.png
8,4018,UD,eab08a11-cb69-4e2a-9947-b1ab8f9079ac.png
25,1636,TA,7a111fe0-8fc7-4638-acf5-ba2bdbfcb44c.png
28,37,BA,77576d54-18e9-43f9-a586-1bd5639ee9d7.png
32,5418,ŠÚ,b4e487ba-0ef4-44df-8259-4d8d772fef6e.png
46,5330,LU,555746db-1b13-48aa-ac06-04b620f85e6c.png
33,4619,ŠI,b51eb50a-970d-4f96-bc2c-c43c771d69ca.png
32,879,TI,c1b6b2b1-4127-4040-b2c4-ce9016c8cdf5.png
27,4226,HE,52a90d78-ae79-4955-bee2-fb943d015947.png
52,3195,LÚ,809bb2e8-264b-4736-bd77-eb141d998f2b.png
7,3280,ID,95f13640-4e63-43fc-b620-6b881e9ab07f.png
36,2993,KAL,b4cd67ac-f9a4-4bfb-aff8-7d85a03ef8da.png
71,80,BA,9ff5c790-e43a-4f37-9a99-2b2279aa3e52.png
23,5718,A,3f8cda7e-1158-4fc1-9674-319c413a09ca.png
10,2967,KAL,e54fa84f-18bc-4945-a175-f2b2c6e6d27b.png
50,3752,KUR,1e267eb7-4a68-470e-a958-014cb8a0d4d3.png
73,416,ITU,f953e584-b5e6-47d3-b2a1-6f28b44cf8fd.png
2,5455,LA,585750cb-925e-4112-8b04-64b9bc098760.png
30,3846,BU,0e84b626-6a96-4c4c-8ed1-fb1366740108.png
64,3880,BU,cd9255f3-43f3-41a2-bbfb-dc9468a7bc67.png
57,4256,HE,2e5444bc-a7d2-40ab-8373-a6f709297ac9.png
11,126,SU,70bdb204-0b77-48b7-b5f8-11e2e63cfee1.png
46,3748,KUR,10168897-c84a-4bfd-bb42-5fe32622116c.png
74,5358,LU,33b1ae11-c00f-4b67-b872-938d0a06301d.png
22,5895,ŠÁ,ffb8e89b-bb31-4bec-aa5f-99294c8de33a.png
44,5739,A,BRM240_MLC2140revc_2.png
50,5745,A,YOS2024_NCBT1938obva_12.png
27,6084,NU,8a858e7e-1bf4-4f27-82dc-40d5add37862.png
5,665,RU,153ff15b-abf3-4dfd-857d-04bed380a818.png
61,484,TU,6c0e3c61-951d-4823-b951-56581dd499f5.png
54,714,RU,57b6449d-bb3c-4176-8c26-2d77bf22d884.png
45,3747,KUR,ac8b2d0f-9737-4c69-ae99-209862d64eb9.png
16,25,BA,abd6977b-afcb-4fb7-8119-2fea7fdccc95.png
25,5411,ŠÚ,7c3ca23d-0efa-4057-a3e3-3f3859f679fb.png
35,44,BA,0c7e7bd6-ba88-4b92-8271-94bb2abd7953.png
12,859,TI,c3a60b4c-9633-48aa-ad85-c908367296af.png
53,1232,GI,86793453-2ccc-486a-8ea2-570600e95eff.png
29,144,SU,aec3fd30-829a-4613-8ef6-590921b4c383.png
,index,sign,glyph
10,4209,HE,9c22cdb5-3341-4f99-9982-41d90a6b751a.png
56,479,TU,75fc77b6-872f-481c-9098-58fb1c44eaf8.png
21,364,ITU,BRM246_MLC2146obv_9.png
31,6408,NI,2002eaa8-3846-47c0-8bab-dba4d82ddbfd.png
11,6068,NU,d7be708b-9510-41fc-b3b2-f28c415921a0.png
33,4043,UD,9e15ad75-b6b5-428e-a222-ac702f13494d.png
14,4733,DI,8a33c703-a878-4d61-9bee-655186170f8b.png
57,66,BA,BRM246_MLC2146obv_15.png
70,5943,ŠÁ,1c4fd27b-6630-4ecc-ab3c-af0744b161da.png
34,3047,BIT,f514c54a-58c5-4d7d-b4ca-44d400d8d978.png
64,3680,ŠU,117a2323-1203-4fe9-8707-49f7ec090293.png
36,2378,BI,BRM213_MLC2113obv_13.png
3,2345,BI,b50efd2e-7604-4602-81bc-5a02a7c8acd8.png
39,5425,ŠÚ,39b51dea-15e7-4655-928c-a86a3ecaade5.png
40,2997,KAL,651495b5-b4ff-4916-97c8-4b23fc0880fd.png
27,370,ITU,4e78219e-8197-4ba1-a1ba-3ab6058ee87b.png
27,2984,KAL,9ca5c8c9-5bb5-4e03-8b23-49af8bd1b90f.png
29,3042,BIT,6ce8817e-e9cc-4144-9f13-a7725565b565.png
25,2175,DU,7e4b24c3-b385-409e-b41e-67c2ec02cac9.png
63,5758,A,6053053e-0f8f-48c8-8540-c8952459af2e.png
64,5348,LU,26f0d401-aac3-4335-8384-eb3248a852a6.png
66,3405,DA,2c566d11-c95e-4665-b89f-fe639e7eed56.png
63,486,TU,646d1973-9310-41a5-b1db-9b0084af5bdc.png
12,4598,ŠI,effb2481-d68e-42fb-9086-9fe944ff1171.png
43,2693,E,6f3577d4-705f-4aa4-82fd-f1bf52b7d974.png
32,2682,E,b7805cf5-daf5-4705-9ce5-7d1acba02ea4.png
59,3398,DA,2e53db44-8e68-44e3-87dd-decf0e7fe787.png
21,2978,KAL,1725c662-8ab6-4af8-a026-7ab4c53c1d72.png
47,1658,TA,d2d524b4-6b1e-4281-b943-00242815f191.png
