,sign,glyph
2299,SU,4eefc20c-46b3-45b3-995d-690c3a59d62f.png
2350,SU,BRM240_MLC2140revc_3.png
2349,SU,BRM213_MLC2113obv_16.png
2348,SU,b7d94996-bab7-4429-b00e-63b0120efa04.png
2347,SU,37ca63d3-f35d-4599-84d3-d9d9db16292d.png
2346,SU,d9da0cad-ec60-4791-b7b2-31beb0aa4b29.png
2345,SU,56ffaf57-4419-4865-93e3-3d7b4ccb960c.png
2344,SU,5a236b56-f62f-4067-994e-85ec8315c8a7.png
2343,SU,c15d48b6-b79d-4867-8435-cf05dc5fe1de.png
2342,SU,56671b4f-f7bb-4939-984d-8d8b022e2fed.png
2300,SU,0ca38236-edb7-46bf-af22-c01a21f86d9a.png
2338,SU,e62be7bb-fdff-4bca-a222-c3d12ff6b125.png
2298,SU,c4f5744c-970d-4be8-8f7b-e24200c9575d.png
2340,SU,f31c25ba-126c-463e-aeb7-a041f637c7ee.png
2341,SU,ff87e63e-e65b-45c3-889a-0f5308af6a74.png
279,BAL,042a8b08-18d3-4f64-a4ae-52a9c178c920.png
278,BAL,be41a641-b93d-4f0d-8adc-838e4667efc7.png
272,BAL,b2328e2b-f93a-46a0-93db-a20f01a0cb29.png
273,BAL,4d91dd61-7e03-4402-906a-b925b631d279.png
274,BAL,318088b7-d086-4437-986b-0c16aaebd0b3.png
271,BAL,fe79a795-054d-462d-b3d9-8465af56872e.png
276,BAL,8acca39b-3239-4ade-bd77-b31f91f728ee.png
277,BAL,3e1d8229-b41a-4118-a17e-6378af56c209.png
284,BAL,e67bfb34-5bf6-404c-aecb-15abc467dfd1.png
283,BAL,ee137ab9-8112-4d84-bad0-48e53200829a.png
282,BAL,d7f020bf-7397-4e2c-b1cb-4daa0f13b110.png
281,BAL,33af4e97-7f3c-4ca5-b272-91bd1f4084e5.png
280,BAL,65b3fa9a-c181-483a-bec4-36cc6272a2c8.png
275,BAL,0bb2ec1c-67fc-4020-a95c-0f2211884486.png
285,BAL,319dbf58-bd55-4cdd-82fd-7f73aae1055c.png
6400,AŠ,d8ddc06a-ad8a-46cb-9794-a79bc5adf15a.png
6399,AŠ,47634264-ddb2-47eb-9bd5-9cb0c8728cc9.png
6398,AŠ,6b222b48-bf56-4d13-b839-93711b22dd18.png
6397,AŠ,f91a6046-dece-419c-bc46-d41e6e6cfda0.png
6395,AŠ,b8c545b8-c773-409a-93ca-2c47769f00bc.png
6394,AŠ,9d08358d-2f03-48a7-a9c2-85e761ebf68a.png
6393,AŠ,990aeed8-ca83-442b-9d6b-0d3f668069ae.png
6396,AŠ,43c9c516-c704-4df6-b7f2-7fb16af3f230.png
3401,TAR,YOS2024_NCBT1938obva_4.png
3389,TAR,9783dc3a-9481-4a7d-be3f-e4c513b091c9.png
3369,TAR,41847b94-3d9d-4b75-abb1-ae16ad1989ce.png
3370,TAR,d5021604-c6bb-4121-880b-8997b54e10fb.png
3371,TAR,164ab3fa-0170-4f15-a778-be2e1d9e014e.png
3372,TAR,0e52bafd-1b1d-436c-881b-b6569ed172d8.png
3373,TAR,14e76477-0379-4cc0-ac02-9f1572be1b4f.png
3374,TAR,9cb2d5c1-a378-4da5-82ba-2a631e541150.png
3375,TAR,e1464753-4212-4929-ad4b-5581f1472e6b.png
3376,TAR,223c942d-a3cd-4c50-ac9b-d12a7dcfbd05.png
3377,TAR,3f693352-e0dc-4e1f-a555-a854c3c601a0.png
3378,TAR,da14a72b-aa2a-481b-8ec8-5d158e61dc2f.png
3379,TAR,ff2f56e7-1f74-4670-854d-a51078fa9e0f.png
3380,TAR,6a7b3612-3c64-40d3-ba82-811ebf7ff948.png
3381,TAR,852d49d5-7ba1-4d02-8657-0544e473dea0.png
3382,TAR,72c7bb87-cdfc-489c-8e0f-03df47410664.png
3383,TAR,29528516-b4f0-47e7-9f93-7ff2aafd91ad.png
3384,TAR,72915a39-7d4c-41eb-822a-d8f98afb2f86.png
3385,TAR,6ac26839-997a-43a5-9484-bc7435a26a7b.png
3386,TAR,0f7ffebf-0f0b-44da-a962-dacb28fcd7b0.png
3390,TAR,62a92195-fc58-4987-979a-78bea9a83d75.png
3387,TAR,98eda70a-05d1-4e57-8fdb-fe1220ac648e.png
3388,TAR,b4804fa0-d191-4c60-8c05-d912a5bd1652.png
3399,TAR,43f8ac92-c002-46fa-ad45-e7dc99409081.png
3400,TAR,7f070975-225b-4bca-be22-e8fe26d56f77.png
3398,TAR,c73816b8-9963-446b-b904-7fa1940a4dd3.png
3397,TAR,b3dbc077-9363-46c2-91d6-962c9e2c1881.png
3396,TAR,2c377320-d8e0-4390-82cf-01df08cf03ef.png
3395,TAR,c94b9932-4646-4534-a907-466319abe226.png
3393,TAR,f38e8418-d464-4363-9bc7-d4caf6743497.png
3394,TAR,4f2205c7-7779-4bc9-b58b-6b038e84f578.png
3391,TAR,daffa0ee-1d74-472b-9a39-e7c27e29e694.png
3402,TAR,BRM246_MLC2146rev_1.png
3392,TAR,620daf78-9d04-4914-b944-389f3aedc204.png
5481,AN,2fdb37b6-c747-4805-ae0f-38c769e7d12f.png
5483,AN,197f2e3f-acd7-4896-aa80-27b55cc93fe1.png
5498,AN,3bfc69ed-c775-45d9-8102-afdc96ef59fa.png
5484,AN,83db9f2d-e9cf-4497-9467-74ac71543867.png
5482,AN,07d493ec-1887-4b15-b65a-8bd9b52495fb.png
5480,AN,f2c3df2d-63ee-4787-8512-079a25ac0725.png
5474,AN,de21178c-1896-462c-8b3a-45232c80026f.png
5478,AN,f868e451-23a1-4083-b34e-d3c08999fd6e.png
5477,AN,1a54c4cd-6953-484a-aeec-00ad5016b50d.png
5475,AN,224fca38-7703-4576-8c36-593b21dab349.png
5470,AN,a0a33131-1907-4e82-8717-048db0b8450b.png
5471,AN,e839c031-76ba-4753-8f30-ac43ae330601.png
5472,AN,93042186-9357-4341-a040-69b556c67a2b.png
5476,AN,3eca90b9-982c-4547-b565-318a7334d3c6.png
5479,AN,e283e9b9-0fbf-466f-b7e0-a844bb780704.png
5473,AN,ac73d968-b94f-4066-ae2b-f220bac16f08.png
5497,AN,1663d553-99d6-44ff-acf0-a6940878d923.png
5469,AN,23a5dbc3-a3e8-41d6-8c6c-46d7c83543b2.png
5487,AN,c91252eb-dcdb-45d8-86ee-adf3e94681c5.png
5488,AN,71333387-8fc0-45cd-84b6-4fae15efbcdb.png
5490,AN,d6cc93c5-9995-4d46-8d54-240d9f0da277.png
5491,AN,c7578129-053c-4dc7-bfcd-b56f280a45c9.png
5492,AN,8f690a6d-cb8e-4ca6-917f-c4b3dcee50ac.png
5493,AN,bfbb6864-1fbc-4af5-91ca-0fc4f66b5d09.png
5494,AN,cefcbb45-a89a-4b13-acad-9e21479214ea.png
5495,AN,773a10c6-7d79-4b05-8475-2662f8a8073a.png
5496,AN,2a8d5bb5-a516-41cf-ab2b-46d128a2bfa7.png
5511,AN,YOS2037_NCBT1956obva_4.png
5486,AN,dd65b87c-fa71-4267-9425-6c115f25a5a8.png
5510,AN,86435e6b-cced-47ca-8d66-e8f7d2dd1c0c.png
5508,AN,1c90cbac-adf1-4883-9ba3-99945840e8a1.png
5507,AN,e2ed2ae0-a8a6-44e0-96dd-4a5f79da0cbb.png
5506,AN,374dd44b-accc-4783-acd1-1449ea7a069f.png
5505,AN,7ae702ee-73eb-47dc-88cf-4778ba466793.png
5504,AN,033291e7-be28-4d34-b70a-a80eac6f6080.png
5503,AN,0847e8fc-0ce8-4c70-bf51-bf02b2daa0f6.png
5502,AN,41d04679-4528-41de-b9d0-e6f792ad4210.png
5501,AN,3a4832d7-501a-4a21-b5e4-f4665ccf13c2.png
5500,AN,c3f75124-83a8-47c9-a107-f546e7620a3f.png
5499,AN,e019b637-69e3-4634-8a97-e3247e38bf5d.png
5509,AN,9297419a-a210-40b8-bd43-3a713fa5aede.png
5485,AN,ba9db32f-c655-41f4-8863-e300f4a35f71.png
5489,AN,a9e85bfa-6e45-4fac-a2df-7aa8fc630b73.png
5468,AN,fccab855-24b0-4a61-8b0f-0d76bde4bc5f.png
704,KA,20c7eb1c-0281-45d2-9849-00221c871a18.png
703,KA,9353c51b-ca97-4bb2-b1a1-b959b55e8a7f.png
702,KA,93832962-157f-4c03-a47f-3ae9c60fcee4.png
701,KA,6bdd0b61-26b0-4e44-9f83-c8191fd29f12.png
700,KA,6ce8de47-3bb9-4a90-b501-43d71aafb04e.png
726,KA,6147bd7e-afea-451e-a4ff-60f52e141587.png
727,KA,03228aaa-c0e0-49a8-91cc-deb32907da20.png
728,KA,74f037ee-de7b-4160-a86e-44fe61b90957.png
729,KA,b4ff597f-7280-4fd9-97e7-89ce38792303.png
742,KA,bcb58e86-ce76-4b6d-ae4b-e005688c8fee.png
741,KA,704f7385-8828-45fe-814d-e478d90504fa.png
740,KA,773975d0-74d2-42d0-9804-199ff9aa632c.png
739,KA,fb1a7ec3-fe7a-4436-bb71-c262e6f9af00.png
738,KA,0c4a2c2d-910a-4e36-8e87-d48dc1924580.png
737,KA,3ceffd7b-042b-43e0-b8f8-b323fa651ddc.png
736,KA,c6b1a151-e74c-49cc-8f8e-5e32a78750c5.png
735,KA,8fb75dbb-45bd-4436-a8a1-92b8b98a157c.png
734,KA,c9f39bb0-926a-44fa-ac95-298bd692e007.png
733,KA,2af7de17-0d22-46c3-9e40-af935d958774.png
732,KA,bb285ca2-3349-4a73-8fd0-99ed1fa625fb.png
731,KA,0ce5f07c-7ce8-42bf-8bc0-34558ccfd4d0.png
705,KA,9007bda5-731b-4e52-875c-2aacb1cb9f9f.png
706,KA,c645d879-00ec-4368-bf0f-441a47de1d3f.png
716,KA,980bcbda-a632-42fc-8c9c-94a949f84ec6.png
708,KA,d2e3283d-5e18-49c0-983c-b515ace08f5a.png
744,KA,1614a568-e66a-456f-a241-1c0869189ca8.png
745,KA,5eb63c15-1b89-4eb0-ab8f-e06ef624e32b.png
746,KA,0d8cba4c-58a2-445b-9f9e-17b9921c1487.png
747,KA,9c3472c4-571e-4484-b315-04b0bbb0d82b.png
748,KA,e629a325-4139-4c85-909e-9ff9378bb363.png
749,KA,BRM211_MLC2111obvc_12.png
718,KA,4297031b-93d8-4bf4-ae8e-f05931bf100f.png
719,KA,cbdc4e55-91d9-4dd0-b9f8-1fd6c872d97e.png
720,KA,0eb69d9c-48e1-4be2-9246-817337839ad7.png
721,KA,bd81d9c2-177f-4781-8242-050a707fedc8.png
717,KA,abdd68f9-eb71-4df2-b748-ffab3b90c457.png
730,KA,643484bc-2cdb-491d-b106-322cc8a5e625.png
723,KA,5d108375-922e-4578-8778-384480201a6c.png
724,KA,fb215a94-2598-4014-aa31-8edd8a7a21f0.png
725,KA,03ca8541-0723-4056-9789-82c38dcc65ed.png
715,KA,4453adf4-1f44-4164-abd2-f150ff0434a5.png
714,KA,69ce8f58-a999-4891-98d7-8e1669414843.png
713,KA,6d2355a5-1c6f-46ed-80b1-ff741c87e20d.png
712,KA,e42dae5b-956b-45f2-9c42-5e14f300751f.png
711,KA,d09ccc4d-d4ac-4249-9fce-73cf40704d1c.png
710,KA,b18b7d99-82d8-46c1-880e-635a9042853a.png
709,KA,91b43952-c5fd-4b96-8384-2379dbc6da32.png
722,KA,0c9d6364-bc30-4b40-a756-57b719b488b8.png
707,KA,eedce889-10cd-4865-8a44-55322f04785a.png
743,KA,6cdbd29e-2e55-4c46-a190-d8d905b48a30.png
6201,ARAD,5de0eccc-2fd2-41c0-9186-20bdb2d60160.png
6207,ARAD,98991b58-6d0a-4b75-8bc7-98fece1fbaa6.png
6206,ARAD,acd0e15e-e77c-459d-ab86-dab3fcd36b8c.png
6205,ARAD,5a126828-4e08-418c-97aa-46d4a2689e9f.png
6204,ARAD,175bd3c2-ac4b-43d4-b761-f2ac11f6463d.png
6203,ARAD,f0b79e26-33a4-4d6e-883b-e2df285323d1.png
6202,ARAD,0ece80bc-6417-4183-a0a8-3a2c804f81b0.png
6200,ARAD,d202c37c-86a8-41eb-a0dc-55e43a98c7a4.png
6208,ARAD,0a40fca7-5244-4d8b-8e36-013844c56f12.png
6209,ARAD,e7faf48d-0ecc-49d2-ba3b-449f1be2ec05.png
6210,ARAD,08c2f0d3-cbe4-40e9-acfd-86aa9693a665.png
6211,ARAD,5034ea71-253f-4d04-91bb-c2de4ec3dee0.png
6199,ARAD,42018f96-035b-4dd0-9186-b21008c3959e.png
6213,ARAD,05b5265e-db4a-49bb-bd01-78b470af4860.png
6212,ARAD,90bbe0b5-d7df-4300-a8ac-73d9e9d05c66.png
6217,ARAD,3b15f655-d25a-4a51-96c1-9415b093070d.png
6216,ARAD,fa7148f2-2fb2-4cae-871f-1cff4223d275.png
6215,ARAD,7dd11adc-15d5-4939-9eee-28c60595f781.png
6214,ARAD,93ef3d63-925e-4388-80ce-2527b9bb8edc.png
6218,ARAD,1dd48fab-e9f7-4b5b-9a87-27a2bbc234ae.png
6197,ARAD,e7b53230-8800-43b0-92c4-640a4ba79d17.png
6198,ARAD,7a1447f3-9f9c-4dab-a595-ced79862e2c2.png
3680,ITU,4d027ea3-fd82-4242-b3e3-71ef2c905338.png
3691,ITU,8a241632-b387-45bf-b8f4-3a0c24757800.png
3681,ITU,9ea1d894-685e-4285-9264-b6205e05b28e.png
3679,ITU,4c439a4d-ae42-4bbb-80e2-7f9c225afa0e.png
3683,ITU,44f44762-4edc-41c2-a085-6cd5e3f540c4.png
3684,ITU,de86cb6d-1eac-40d5-bfee-d80275451483.png
3685,ITU,7076197d-2a05-4f37-9bb6-4f0a62b596f3.png
3686,ITU,d4fc00aa-20c5-48d3-8beb-e17c9fba4b7b.png
3687,ITU,c6b903fe-8487-4337-b7b1-f01aaecab2c5.png
3688,ITU,3ef1a44e-f136-400f-b482-4931792df369.png
3689,ITU,bb469bd6-be78-494d-8df4-8c2d49fd85ff.png
3690,ITU,253da771-759f-4893-b063-6fca7314714a.png
3682,ITU,94e8445c-897a-4436-b624-502205ae948b.png
3692,ITU,dedd4385-c5c4-469a-a4b2-9fdba1c692c6.png
3704,ITU,de5511de-ee0a-48ae-bcd2-e2071870f97f.png
3694,ITU,d5a02e14-6a8c-45c8-afcb-1b9a13ebee7d.png
3639,ITU,d231410f-563b-498f-9e8e-fec19ed40790.png
3640,ITU,e9a80558-176c-4aff-90c1-38813493adee.png
3641,ITU,77cd2d76-35ad-4fe2-b956-513e96a32c2b.png
3642,ITU,c278220d-a52d-424f-991c-854828f8e059.png
3696,ITU,ab44c303-60d8-4219-8cc7-8bb4e77c7a72.png
3717,ITU,BRM246_MLC2146obv_9.png
3716,ITU,YOS2024_NCBT1938obvb_1.png
3715,ITU,69cc4fee-d40e-41e5-a589-19f206e32972.png
3714,ITU,f1357aec-d22e-4902-ab09-419060b436a7.png
3713,ITU,ad115aea-39aa-40a5-a6c2-4dc3a954e6cc.png
3693,ITU,88d84d10-dcb0-4d42-a267-5121c4d8f246.png
3712,ITU,4e78219e-8197-4ba1-a1ba-3ab6058ee87b.png
3710,ITU,0e69448d-765d-4e08-a79b-3e7dadccc222.png
3709,ITU,b7220442-b2d9-4632-a6e0-cff496d0e7c8.png
3708,ITU,bca7fee3-9ab0-49f4-b4c2-63b3224e613e.png
3707,ITU,c2d35550-2550-4309-8c51-ccd3d4164905.png
3706,ITU,50b58d00-231a-454b-83c9-7554878cc90a.png
3643,ITU,2496d01c-95ef-4486-b6a7-b3d69d539745.png
3678,ITU,dce5c0fc-f534-42e4-91ce-41acbd7e8ca0.png
3703,ITU,b0f9bd52-7706-4f43-a35d-c62df39a8b2a.png
3702,ITU,83a5969b-dcbc-4e7a-b385-3191f9b6319e.png
3695,ITU,72226dde-bd1a-4dd7-bf62-b4a6db9fe5dc.png
3711,ITU,094a71bb-6cbf-44b9-9805-1002216261a4.png
3677,ITU,223f10da-086b-47e0-987e-52edc911093a.png
3705,ITU,0b21fe61-ff79-4b5a-9366-169f194524b5.png
3645,ITU,81ddc9a3-bea9-442c-a982-5a8c5303dcb7.png
3698,ITU,de0f7d04-d592-4dfa-b18b-4edf34ac62f6.png
3662,ITU,c654f925-ba75-46b4-bf17-c5af2d337a73.png
3663,ITU,478c459a-e2c7-4518-9a5b-430a94cd47de.png
3664,ITU,54b1c4b4-923d-4073-b079-d7fc9bdbc8b7.png
3665,ITU,a48738bf-98a6-46e3-8d1a-18ea770872a0.png
3666,ITU,1a85076b-7f44-40d9-afe9-acbe55b2acff.png
3667,ITU,69fb20f9-3f8d-47ca-9ecf-111ea32a970a.png
3668,ITU,062cd1be-aa63-4d35-9ca4-0c44e3fc5f7b.png
3669,ITU,26c7cbcd-f858-430e-93d7-7d224de48f74.png
3670,ITU,78ac57f8-6d4d-4702-abfe-161b2719977c.png
3671,ITU,38ef9734-5ef4-402e-84c2-80875897d4cd.png
3672,ITU,e8569b34-98f0-47ec-8a25-bda1cfd642de.png
3673,ITU,c5c15a61-d401-4847-83ce-4c21d8a39bf6.png
3674,ITU,95affa02-b81a-4707-85a6-111f9f4d28ea.png
