identifier,tablet,sign,reading,context,note,image
6ce8de47-3bb9-4a90-b501-43d71aafb04e,YOS 17 286,KA,ZÚ,ZÚ.LUM.MA,,6ce8de47-3bb9-4a90-b501-43d71aafb04e.png
9654ae4a-ff7e-45eb-9b51-dc6bca5cb664,YOS 17 286,NA,na,d.Na-na-a,,9654ae4a-ff7e-45eb-9b51-dc6bca5cb664.png
f06673ac-e403-4bd9-a432-eeaddbded8e7,YOS 17 286,LU,lu,I.Gi-mil-lu,,f06673ac-e403-4bd9-a432-eeaddbded8e7.png
e694014d-b7b0-483a-b146-7c3ec7f1ea3b,YOS 17 286,NE,bil,bil-ti,,e694014d-b7b0-483a-b146-7c3ec7f1ea3b.png
7134280c-4769-4769-b5ec-31899df4ae0d,YOS 17 286,BI,bi,GIŠ.hu-sa-bi,,7134280c-4769-4769-b5ec-31899df4ae0d.png
241406c9-d4e0-4a79-99e1-fcb36e65c1ad,YOS 17 286,HA,ha,ha-sa-ri,,241406c9-d4e0-4a79-99e1-fcb36e65c1ad.png
65df706b-f3fa-4009-8e6d-83dd58d447bd,YOS 17 286,NAM,nam,i-nam-din-nu,,65df706b-f3fa-4009-8e6d-83dd58d447bd.png
e8680d0b-4b42-4c53-aafc-0e62d8ee26e2,YOS 17 286,KUR,lat,e-lat,,e8680d0b-4b42-4c53-aafc-0e62d8ee26e2.png
5647c2ef-e70d-4e46-8cba-615a651a19f8,YOS 17 286,ŠU,šu,na-šu-ú,,5647c2ef-e70d-4e46-8cba-615a651a19f8.png
d3f61b44-2f07-4cae-a9b2-9fbc7d81cdbc,YOS 17 286,MU,mu,LÚ-mu-kin7,,d3f61b44-2f07-4cae-a9b2-9fbc7d81cdbc.png
bfc09d86-b4e7-4ac9-8164-50afb9e5de4b,YOS 17 286,BA,ba,ba,,bfc09d86-b4e7-4ac9-8164-50afb9e5de4b.png
c978fcca-9142-4a1c-90ab-afea70592b3f,YOS 17 286,MAR,mar,mar,,c978fcca-9142-4a1c-90ab-afea70592b3f.png
3dfc8ccf-8358-4dde-9111-d922c0a6483a,NCBT 524,BA,ba,ba,PN,3dfc8ccf-8358-4dde-9111-d922c0a6483a.png
5ed9d997-e343-49fe-86da-50c9aabcc54e,NCBT 524,LA,la,I.Ba-la-ṭu,PN,5ed9d997-e343-49fe-86da-50c9aabcc54e.png
658bf955-23ed-46b3-b91a-edef0430b0c4,NCBT 524,ṬU,ṭu,I.Ba-la-ṭu,,658bf955-23ed-46b3-b91a-edef0430b0c4.png
9a0c2fc9-ad67-4c4a-b92a-74342c46256d,NCBT 524,GI,GI,I.d+AG-GI,PN,9a0c2fc9-ad67-4c4a-b92a-74342c46256d.png
d048661c-eeee-4353-abf4-d98050de9fde,NCBT 524,BU,pu,pu-ut,,d048661c-eeee-4353-abf4-d98050de9fde.png
511bbc70-5faa-421f-a3bf-bc561e1874d4,NCBT 524,PI,pi,pi-i,part of PN,511bbc70-5faa-421f-a3bf-bc561e1874d4.png
1841c673-1998-4c6a-a876-eb7dade267fd,NCBT 524,ZA,ṣa,mar-ṣa,,1841c673-1998-4c6a-a876-eb7dade267fd.png
1c251e27-a806-4aba-8a75-432b7f362a93,NCBT 524,MAR,mar,mar-ṣa,,1c251e27-a806-4aba-8a75-432b7f362a93.png
9fe958e1-043e-4271-a089-c42e36dc7239,NCBT 524,SI,se,se-me-re-e,,9fe958e1-043e-4271-a089-c42e36dc7239.png
251c273c-912b-4289-a579-a62b67e813d7,NCBT 524,ME,me,se-me-re-e,,251c273c-912b-4289-a579-a62b67e813d7.png
5bc5e40b-1bda-469e-a9f5-01d4a8b7a942,NCBT 524,RI,re,se-me-re-e,,5bc5e40b-1bda-469e-a9f5-01d4a8b7a942.png
0cd28fec-c5f6-40a3-b0cd-239a09ec9e8d,NCBT 524,E,e,se-me-re-e,,0cd28fec-c5f6-40a3-b0cd-239a09ec9e8d.png
6bdd0b61-26b0-4e44-9f83-c8191fd29f12,NCBT 524,KA,ka,É ka-re-e,,6bdd0b61-26b0-4e44-9f83-c8191fd29f12.png
f2e9d43f-e748-4905-8be9-7c43c2f6895e,NCBT 524,AB,ab,ṣa-ab-ti,,f2e9d43f-e748-4905-8be9-7c43c2f6895e.png
5804b41c-89e7-46e6-8b70-9389d4e2a236,NCBT 524,TI,ti,ṣa-ab-ti,,5804b41c-89e7-46e6-8b70-9389d4e2a236.png
f3114625-c6a1-4f73-8d71-d54505a5a196,NCBT 524,GAL,qal,LÚ.qal-la,,f3114625-c6a1-4f73-8d71-d54505a5a196.png
b276465e-3cef-495b-85c8-6b54d9c7d7e4,NCBT 524,DI,di,a-di UGU,,b276465e-3cef-495b-85c8-6b54d9c7d7e4.png
b2328e2b-f93a-46a0-93db-a20f01a0cb29,NCBT 524,BAL,bal,i-bal-lu-ṭu,,b2328e2b-f93a-46a0-93db-a20f01a0cb29.png
7106dabf-e548-4926-87a4-7335c1c09db8,NCBT 524,LU,lu,i-bal-lu-ṭu,,7106dabf-e548-4926-87a4-7335c1c09db8.png
bb3cc608-5842-4cca-9fbc-0ee36dfb350c,NCBT 524,ŠÀ,ŠÀ,LÚ.ŠÀ.TAM,,bb3cc608-5842-4cca-9fbc-0ee36dfb350c.png
db15fbd6-9675-4745-a9ef-dc16da4176ce,NCBT 524,UD,TAM,LÚ.ŠÀ.TAM,,db15fbd6-9675-4745-a9ef-dc16da4176ce.png
c2fe779e-01ad-41a3-a603-a1193094c143,NCBT 524,SAG,SAG,LÚ.SAG LUGAL,,c2fe779e-01ad-41a3-a603-a1193094c143.png
ef3eb82d-1d73-4731-bb55-3c053a04e30b,NCBT 524,EN,EN,LÚ.EN KUR7 É.AN.NA,,ef3eb82d-1d73-4731-bb55-3c053a04e30b.png
7b9eff90-c706-4470-aac8-1e627e1ea4e8,NCBT 524,ŠU,šu,na-šu-ú,,7b9eff90-c706-4470-aac8-1e627e1ea4e8.png
5e45ad5d-bcfa-4fc1-a839-992c48e16ccf,NCBT 524,Ú,ú,na-šu-ú,,5e45ad5d-bcfa-4fc1-a839-992c48e16ccf.png
c37b2160-853c-4ce0-a7a8-2fb2ff273ca3,NCBT 524,DIN,TIN,I.d.IM-TIN-iṭ,PN,c37b2160-853c-4ce0-a7a8-2fb2ff273ca3.png
ee471f23-580f-4668-81eb-d2be7b4dc31c,NCBT 524,SU,su,[er]-re-és-su,,ee471f23-580f-4668-81eb-d2be7b4dc31c.png
f17927e7-3e13-4a61-805b-f389866c1f7c,NCBT 524,EŠ,és,[er]-re-és-su,,f17927e7-3e13-4a61-805b-f389866c1f7c.png
35809f37-bf72-43ef-a1ad-b7f7d58a8457,NCBT 524,ÁŠ,áš,i-na-áš-šu-ú,,35809f37-bf72-43ef-a1ad-b7f7d58a8457.png
01f4267a-47b5-4c98-bd4c-826cf17b3702,NCBT 524,NA,na,i-na-áš-šu-ú,,01f4267a-47b5-4c98-bd4c-826cf17b3702.png
5e36b779-b282-4b8e-a215-c6a55867ae67,NCBT 524,KU,ku,ib-ba-ku-nim-ma,,5e36b779-b282-4b8e-a215-c6a55867ae67.png
cc4105c8-f16d-46d2-bc59-52f5a12b2177,NCBT 524,NIM,nim,ib-ba-ku-nim-ma,,cc4105c8-f16d-46d2-bc59-52f5a12b2177.png
81131ffa-6a74-4f49-8368-d8f135dbfe4f,NCBT 524,NAM,nam,i-nam-din-nu-uš,,81131ffa-6a74-4f49-8368-d8f135dbfe4f.png
7e06fb54-1068-4140-9537-029d72e5fec4,NCBT 524,I,i,i-nam-din-nu-uš,,7e06fb54-1068-4140-9537-029d72e5fec4.png
1fc09734-7a8c-4c92-9ef6-be92a4a1fee3,NCBT 524,UŠ,uš,i-nam-din-nu-uš,,1fc09734-7a8c-4c92-9ef6-be92a4a1fee3.png
bc0545ef-3db3-43f2-83d2-6104aef07ca7,NCBT 524,KIN,kin,LÚ.mu-kin-nu,,bc0545ef-3db3-43f2-83d2-6104aef07ca7.png
08b58877-0320-49ff-8eab-bbd57fbc91d9,NCBT 524,ŠEŠ,ŠEŠ,I.d+EN-ŠEŠ.MEŠ-BA-šá,PN,08b58877-0320-49ff-8eab-bbd57fbc91d9.png
7884498b-8630-4ce7-a562-17d8ba500e7c,NCBT 524,BI,bi,I.E-gi-bi,PN,7884498b-8630-4ce7-a562-17d8ba500e7c.png
e2f4dd70-3233-49b9-9c11-85eef27ba9e7,NCBT 524,KUR,KUR,d.KUR.GAL,part of PN,e2f4dd70-3233-49b9-9c11-85eef27ba9e7.png
f590948f-dc92-48fd-b5e6-dae7d6c56c77,NCBT 524,TA,ta,ta,PN,f590948f-dc92-48fd-b5e6-dae7d6c56c77.png
e561b970-43fc-4f86-9ba4-bb3ea3a308a5,NCBT 524,LI,li,I.Ta-li-mu,PN,e561b970-43fc-4f86-9ba4-bb3ea3a308a5.png
234af2ae-4398-44f2-8487-07aca77600a9,NCBT 524,MU,mu,I.Ta-li-mu,PN,234af2ae-4398-44f2-8487-07aca77600a9.png
75e33922-728b-4879-8842-ecabd4051341,NCBT 524,IN,in,d.In-nin,part of PN,75e33922-728b-4879-8842-ecabd4051341.png
8a462ee9-e748-4443-ad4f-4ced6e389cec,NCBT 524,NIN,nin,d.In-nin,part of PN,8a462ee9-e748-4443-ad4f-4ced6e389cec.png
8f5454a5-b445-4a4d-81ca-76bb736b69c9,NCBT 524,KI,ki,ki,PN,8f5454a5-b445-4a4d-81ca-76bb736b69c9.png
2bd8c667-27a9-469b-a82f-3967bca13714,NCBT 524,IŠ,mil,I.Gi-mil-lu,PN,2bd8c667-27a9-469b-a82f-3967bca13714.png
2d8fe741-41d6-47ff-9a3f-546d626239c1,NCBT 524,KAM,kam,kam,PN,2d8fe741-41d6-47ff-9a3f-546d626239c1.png
d4727224-6faa-40a4-be51-5d3e24398641,NCBT 524,ZI,zi,I.Kam-bu-zi-ia,PN; sign slightly broken off,d4727224-6faa-40a4-be51-5d3e24398641.png
bb87b04c-3dff-49bc-8b9b-5bad021c6faf,NCBT 524,DIR,TIR,TIN.TIR.KI,GN,bb87b04c-3dff-49bc-8b9b-5bad021c6faf.png
3760563e-2ee3-4b6d-86db-2a6e576f3c6c,NBC 6125,LUM,LUM,ZÚ.LUM.MA,,3760563e-2ee3-4b6d-86db-2a6e576f3c6c.png
0c2a8233-fc95-44ee-994e-a56b16cfaaa2,NBC 6125,MAN,mìn,mìn-de,,0c2a8233-fc95-44ee-994e-a56b16cfaaa2.png
bdbc9115-4c9c-49eb-a21d-c67edf0af98f,NBC 6125,DI,de,mìn-de,,bdbc9115-4c9c-49eb-a21d-c67edf0af98f.png
9b2328a9-951c-4294-82a6-67c792638041,NBC 6125,AD,ad,I.ta-ad-de-eš-šú,PN,9b2328a9-951c-4294-82a6-67c792638041.png
6d837662-69e5-4fa5-b7a4-f65fd6483688,NBC 6125,EŠ,eš,I.ta-ad-de-eš-šú,PN,6d837662-69e5-4fa5-b7a4-f65fd6483688.png
724c7953-7716-41e4-ac8e-264882578d69,NBC 6125,GA,GA,NÍG.GA,,724c7953-7716-41e4-ac8e-264882578d69.png
a417451e-c7fb-4030-b07d-4ba74f9d5445,NBC 6125,ŠI,ši,I.ši-rik-tú-d.MAŠ,PN,a417451e-c7fb-4030-b07d-4ba74f9d5445.png
09f543e8-e7c2-49d8-afaf-a2f8e4f8b117,NBC 6125,ŠIM,rik,I.ši-rik-tú-d.MAŠ,PN,09f543e8-e7c2-49d8-afaf-a2f8e4f8b117.png
20d998d4-4a90-4213-abfd-e5fc35d73e71,NBC 6125,TIK,GÚ,LÚ.GÚ.EN.NA,,20d998d4-4a90-4213-abfd-e5fc35d73e71.png
2ea6ce34-1df2-4e44-aebd-e589d85c471e,NBC 6125,EN,EN,LÚ.GÚ.EN.NA,,2ea6ce34-1df2-4e44-aebd-e589d85c471e.png
0b23b03b-cd30-4f20-be92-78b279d43bf7,NBC 6125,ŠU,ŠU,ŠU+2,ligature of ŠU and II,0b23b03b-cd30-4f20-be92-78b279d43bf7.png
cdd7103d-4274-46cd-8030-3b845ab01649,NBC 6125,RA,ra,I.mu-ra-nu,PN,cdd7103d-4274-46cd-8030-3b845ab01649.png
28f663ac-75bb-4989-b04b-54a10566ba1d,NBC 6125,NUN,NUN,I.NUN.ME,PN,28f663ac-75bb-4989-b04b-54a10566ba1d.png
bb6ce298-f7f6-4629-b2c3-dd5ca11ba66d,NBC 6125,DU,kin7,LÚ.mu-kin7,,bb6ce298-f7f6-4629-b2c3-dd5ca11ba66d.png
704b2164-ccdd-4f33-ad4d-0c8d9db9e846,NBC 6125,LI,li,I.li-GIŠ,PN,704b2164-ccdd-4f33-ad4d-0c8d9db9e846.png
2d385e60-fc78-4a55-9049-9e9071d17dec,NBC 6125,IS,GIŠ,I.li-GIŠ,PN,2d385e60-fc78-4a55-9049-9e9071d17dec.png
5fd4ec25-9737-4ba2-a989-8ae09ef6782c,NBC 6125,SU,su,I.d.UTU-pa-<qid>-su-nu,PN,5fd4ec25-9737-4ba2-a989-8ae09ef6782c.png
ef8dfd2b-a459-41e6-99b8-4ca825233592,NBC 6126,IG,ik,ri-ik-si,,ef8dfd2b-a459-41e6-99b8-4ca825233592.png
88f29a80-9d25-4f93-9c36-7cca84e4f68d,NBC 6126,MUH,UGU,ina UGU,,88f29a80-9d25-4f93-9c36-7cca84e4f68d.png
41847b94-3d9d-4b75-abb1-ae16ad1989ce,NBC 6126,TAR,haṣ,DUG.haṣ-bat-ti,,41847b94-3d9d-4b75-abb1-ae16ad1989ce.png
229e824c-6a5f-4eda-be6b-4f3471979ac9,NBC 6126,TI,ti,DUG.haṣ-bat-ti,,229e824c-6a5f-4eda-be6b-4f3471979ac9.png
20155c46-a1e1-4da0-9fe4-cdf89500d38b,NBC 6126,AB,ap,I.ap-la-a,PN,20155c46-a1e1-4da0-9fe4-cdf89500d38b.png
6a6d28ea-89b2-4fb8-b5dc-dd397d5aac30,NBC 6126,SI,si,ri-ik-si,,6a6d28ea-89b2-4fb8-b5dc-dd397d5aac30.png
6cf3f67a-0b56-426a-937a-217294cc6a45,NBC 6126,LA,la,I.šu-la-a,PN,6cf3f67a-0b56-426a-937a-217294cc6a45.png
bcb4eb27-acee-472b-81cf-a808cbfbd1e8,BIN 1 134,ŠI,LIM,2 LIM ...,Zahl,bcb4eb27-acee-472b-81cf-a808cbfbd1e8.png
96a4f704-4d4c-4a2e-ad06-a206418e9294,BIN 1 134,ME,ME,...3 ME ...,Zahl,96a4f704-4d4c-4a2e-ad06-a206418e9294.png
9e5baada-83ad-40e6-8bd5-056b7dc951f6,BIN 1 134,MEŠ,MEŠ,UDU.NÍTA.MEŠ,,9e5baada-83ad-40e6-8bd5-056b7dc951f6.png
34621198-8dea-406f-91ff-7c5c80562b3a,BIN 1 134,UL,ul,ul-tu,,34621198-8dea-406f-91ff-7c5c80562b3a.png
8007bb4c-79aa-4be3-b41c-1c14501e3837,BIN 1 134,TU,tu,ul-tu,,8007bb4c-79aa-4be3-b41c-1c14501e3837.png
f23655ab-7515-44e5-8ab6-1e98243a38d5,BIN 1 134,KAM,KAM,UD x.KAM,,f23655ab-7515-44e5-8ab6-1e98243a38d5.png
1b5ead30-cabc-42c8-b7b6-490a15230a0e,BIN 1 134,I,i,a-di-i,,1b5ead30-cabc-42c8-b7b6-490a15230a0e.png
c62571cb-3c5e-495d-ab13-1429d9ab7d8b,BIN 1 134,DI,di,a-di-i,,c62571cb-3c5e-495d-ab13-1429d9ab7d8b.png
ed65d918-ac8c-4b2e-8ad3-257fea082ba5,BIN 1 134,DUB,DUB,DUB,,ed65d918-ac8c-4b2e-8ad3-257fea082ba5.png
d231410f-563b-498f-9e8e-fec19ed40790,BIN 1 134,ITU,ITU,ITU.APIN,,d231410f-563b-498f-9e8e-fec19ed40790.png
f999b744-46d4-4c45-bdb7-1296e9843af3,BIN 1 134,MU,MU,MU x.KAM,,f999b744-46d4-4c45-bdb7-1296e9843af3.png
4ccf6e62-e988-4021-9919-607b44a9ec6d,BIN 1 134,GI,gi,gi-nu-ú,,4ccf6e62-e988-4021-9919-607b44a9ec6d.png
c533b383-11d9-4fed-a1a0-7eccccbe9fd7,BIN 1 134,ZI,ZI,ZI.GA,,c533b383-11d9-4fed-a1a0-7eccccbe9fd7.png
d531999b-4dd4-4490-b369-9e8681c1364c,BM 114791,ME,ME,3 ME,,d531999b-4dd4-4490-b369-9e8681c1364c.png
25b1f898-381f-46af-a0cc-be4d8465bbe4,BM 114791,LÚ,LÚ,LÚ.ENGAR.MEŠ,,25b1f898-381f-46af-a0cc-be4d8465bbe4.png
e9bafc11-987b-4a01-9103-be175093386b,BM 114791,APIN,ENGAR,LÚ.ENGAR.MEŠ,,e9bafc11-987b-4a01-9103-be175093386b.png
6877b822-cc45-4b73-a82c-d031b7a9fbe7,BM 114791,MEŠ,MEŠ,LÚ.ENGAR.MEŠ,,6877b822-cc45-4b73-a82c-d031b7a9fbe7.png
111dc755-1d6f-4807-8c3b-016c38967acf,BM 114791,GUR,GUR,GUR,,111dc755-1d6f-4807-8c3b-016c38967acf.png
dc3346b1-0c6e-4fe0-ba56-9d986b27dba2,BM 114791,ŠE,ŠE,ŠE.BAR,,dc3346b1-0c6e-4fe0-ba56-9d986b27dba2.png
705c0fc0-ce05-4c71-9878-bd8fd62b938b,BM 114791,BAR,BAR,ŠE.BAR,,705c0fc0-ce05-4c71-9878-bd8fd62b938b.png
6e9403c3-2a12-4860-a709-a69a561eb4c2,BM 114791,ŠÁ,šá,šá,,6e9403c3-2a12-4860-a709-a69a561eb4c2.png
ff6a06cb-5ef4-4296-bd24-f3f8e1ef4e63,BM 114791,KI,qi,LÚ.qi-i-pi,,ff6a06cb-5ef4-4296-bd24-f3f8e1ef4e63.png
b06bea9f-63c1-4284-889c-d4eb9c3e195b,BM 114791,MU,MU,MU,,b06bea9f-63c1-4284-889c-d4eb9c3e195b.png
21f845e2-9873-4de8-9aec-5e2a8112ac62,BM 114791,HE,HI,PAD.HI.A,,21f845e2-9873-4de8-9aec-5e2a8112ac62.png
10ab8bcf-3b14-43f9-91f3-f0fb69503bde,BM 114791,PAP,PAP,PAP.PAP,,10ab8bcf-3b14-43f9-91f3-f0fb69503bde.png
6265a7ba-b839-4ef7-b6ca-813311e0ab85,BM 114791,ŠI,LIM,LIM,,6265a7ba-b839-4ef7-b6ca-813311e0ab85.png
5a3f8115-5b16-464c-ac28-1ccca1ac9f68,BM 114791,MI,mi,mi-šil,,5a3f8115-5b16-464c-ac28-1ccca1ac9f68.png
0480c773-afa3-488a-ae05-4cd3dd196239,BM 114791,IS,GIŠ,GIŠ.APIN.MEŠ,,0480c773-afa3-488a-ae05-4cd3dd196239.png
43634476-3772-4fc7-b96c-69645e8b5df5,BM 114791,APIN,APIN,GIŠ.APIN.MEŠ,,43634476-3772-4fc7-b96c-69645e8b5df5.png
d5275c01-d35e-48b1-a3ec-1a0d8f32bc35,BM 114791,MEŠ,MEŠ,GIŠ.APIN.MEŠ,,d5275c01-d35e-48b1-a3ec-1a0d8f32bc35.png
0a172b6e-a8c7-481e-8f71-903116c21fa8,BM 114791,ŠÁ,šá,šá,,0a172b6e-a8c7-481e-8f71-903116c21fa8.png
ee4bf896-c4e8-4e5e-885b-066243c55240,BM 114791,DI,di,I.di-hu-um-mu,PN,ee4bf896-c4e8-4e5e-885b-066243c55240.png
6d369706-3197-4fed-a2f3-da002f67a681,BM 114791,HU,hu,I.di-hu-um-mu,PN,6d369706-3197-4fed-a2f3-da002f67a681.png
a42f573b-4188-471c-9e35-4cc875494d4b,BM 114791,UM,um,I.di-hu-um-mu,PN,a42f573b-4188-471c-9e35-4cc875494d4b.png
10b30add-94db-4d07-be87-fe92a6f66d0d,BM 114791,MU,mu,I.di-hu-um-mu,PN,10b30add-94db-4d07-be87-fe92a6f66d0d.png
f3a05209-ff98-4db7-a60c-308861ed3c93,BM 114791,BA,ba,I.ba-la-ṭu,PN,f3a05209-ff98-4db7-a60c-308861ed3c93.png
2f6bfd1c-0499-41b0-88fb-372b1a869418,BM 114791,ṬU,ṭu,I.ba-la-ṭu,PN,2f6bfd1c-0499-41b0-88fb-372b1a869418.png
fe7cfd7f-3067-49c2-95a3-ac68f632ceb5,BM 114791,URU,URU,URU.has-pe-e,GN,fe7cfd7f-3067-49c2-95a3-ac68f632ceb5.png
d5021604-c6bb-4121-880b-8997b54e10fb,BM 114791,TAR,has,URU.has-pe-e,GN,d5021604-c6bb-4121-880b-8997b54e10fb.png
702a25f9-5171-4466-890b-02c79873449a,BM 114791,PI,pe,URU.has-pe-e,GN,702a25f9-5171-4466-890b-02c79873449a.png
a54411ad-c51a-4d03-92e1-5853ad40e526,AD -95C,KI,KI,KUR URI.KI,GN,a54411ad-c51a-4d03-92e1-5853ad40e526.png
043b0f46-0862-4d20-b3d0-c0f0d92097b2,AD -95C,KU,TUŠ,TUŠ-u',,043b0f46-0862-4d20-b3d0-c0f0d92097b2.png
188ef735-a4aa-4a57-9551-aecbac5b10c7,AD -95C,A',u,TUŠ-'u,,188ef735-a4aa-4a57-9551-aecbac5b10c7.png
c90f1de6-5c5b-4e85-bd91-f0fd8f67d658,AD -95C,Ú,ú,ú-pe-hi-ir-ma,,c90f1de6-5c5b-4e85-bd91-f0fd8f67d658.png
4518baa5-c635-4def-851b-e1b8bdb94d9f,AD -95C,HE,hi,ú-pe-hi-ir-ma,,4518baa5-c635-4def-851b-e1b8bdb94d9f.png
d78c26e5-2f9a-4126-83d9-1f6d82a54f32,AD -95C,IR,ir,ú-pe-hi-ir-ma,,d78c26e5-2f9a-4126-83d9-1f6d82a54f32.png
e038f379-92c9-4e8a-843f-19650d0c6ffa,AD -95C,MA,ma,ú-pe-hi-ir-ma,,e038f379-92c9-4e8a-843f-19650d0c6ffa.png
8ba9cba2-8671-42e0-9e7f-a20e4a247e86,AD -95C,DAH,DAH,ÉRIN.DAH.MEŠ-šú,,8ba9cba2-8671-42e0-9e7f-a20e4a247e86.png
18f76ecd-a6e2-4b99-8fbd-a89184028682,AD -95C,ŠÚ,šú,ÉRIN.DAH.MEŠ-šú,,18f76ecd-a6e2-4b99-8fbd-a89184028682.png
f3f0adf4-8854-4d70-92bd-89b8f1c477f8,AD -95C,PI,pi,pi-qid,,f3f0adf4-8854-4d70-92bd-89b8f1c477f8.png
a94a8e45-02bf-45c1-b9dc-21ac8d59fee8,AD -95C,KID,qid,pi-qid,,a94a8e45-02bf-45c1-b9dc-21ac8d59fee8.png
250576d6-d6c1-4d5a-a9dc-766eea0bcb22,AD -95C,URU,URU,URU Ar-mi-ni-i,GN,250576d6-d6c1-4d5a-a9dc-766eea0bcb22.png
812a78f4-666a-43d6-9560-51d8514345b6,AD -95C,AR,ar,arURU Ar-mi-ni-i,GN,812a78f4-666a-43d6-9560-51d8514345b6.png
dfc152db-8439-4f40-bd68-dba188d352d7,AD -95C,NI,ni,URU Ar-mi-ni-i,GN,dfc152db-8439-4f40-bd68-dba188d352d7.png
e260361d-1670-4bbb-886a-626036af92a0,AD -95C,I,i,URU Ar-mi-ni-i,GN,e260361d-1670-4bbb-886a-626036af92a0.png
143fa45f-eb35-4460-8e55-f88c56a6017a,AD -95C,DIM,tì,MU-a-tì,,143fa45f-eb35-4460-8e55-f88c56a6017a.png
da617e02-823e-45d1-976d-f34843285b99,AD -95C,UM,um,um-ma,,da617e02-823e-45d1-976d-f34843285b99.png
3ef25627-e3b0-42ed-9dce-83a75f585a95,AD -95C,LUGAL,LUGAL,LUGAL,,3ef25627-e3b0-42ed-9dce-83a75f585a95.png
442cc0ef-117a-43fa-be46-aa4b516f0bd1,AD -95C,US,uz,GUB-uz,,442cc0ef-117a-43fa-be46-aa4b516f0bd1.png
43e54224-67d8-4cbc-93b7-36b0d6a06f04,AD -95C,TE,te,al-te-e,,43e54224-67d8-4cbc-93b7-36b0d6a06f04.png
d3d4e800-3cb8-4398-b571-4c026d600626,AD -95C,E,e,al-te-e,,d3d4e800-3cb8-4398-b571-4c026d600626.png
b186724c-21e7-4d5c-a11d-4e6b13a82704,AD -95C,ŠÁ,šá,šá,,b186724c-21e7-4d5c-a11d-4e6b13a82704.png
5e51e12a-990a-420f-a054-26b18a27caa4,AD -95C,TUR,DUMU,LÚ.DUMU LUGAL,,5e51e12a-990a-420f-a054-26b18a27caa4.png
e9a80558-176c-4aff-90c1-38813493adee,AD -95C,ITU,ITU,ITU BI,,e9a80558-176c-4aff-90c1-38813493adee.png
67d4d2b9-c877-449a-8ee5-4fda667bbd10,AD -95C,BI,BI,ITU BI,,67d4d2b9-c877-449a-8ee5-4fda667bbd10.png
ceed538d-bee5-4ba1-8e19-4507f4f3f04b,AD -95C,IN,in,GAR-in,,ceed538d-bee5-4ba1-8e19-4507f4f3f04b.png
cfc54632-7c85-4738-85af-c4a5aa682cdd,AD -95C,KUR,KUR,KUR,,cfc54632-7c85-4738-85af-c4a5aa682cdd.png
